index,name,hex,r,g,b,c,m,y,k,combinations
27,Hydrangea Red,#ab3a45,171,58,69,38,90,70,0,142
28,Brick Red,#b03f16,176,63,22,22,84,100,18,37 108 246 322 328
29,Carmine Red,#ad242f,173,36,47,25,95,80,16,35 51 104 130 181 200 221 228 233 237 245 338
30,Pompeian Red,#b31831,179,24,49,18,97,74,19,30 71 120 212 311 324
31,Red,#ad153b,173,21,59,30,100,70,10,251 261
32,Brown,#86431f,134,67,31,35,74,90,35,110 121 145 161
33,Hay's Russet,#833121,131,49,33,37,85,87,35,58 82 95 152 186 231 249 304 314 336 345
34,Vandyke Red,#8c1d19,140,29,25,32,95,95,33,16 133 147 316 335
35,Pansy Purple,#870836,135,8,54,34,100,60,34,157 273
36,Pale Burnt Lake,#8a2422,138,36,34,25,90,80,40,124 171 177 205 217 258 269 283
37,Violet Red,#5e2658,94,38,88,75,100,50,5,9
38,Vistoris Lake,#784244,120,66,68,40,71,55,40,63 91 165 226 290 337
39,Sulpher Yellow,#f8f2c8,248,242,200,4,4,28,0,52 72 80 104 132 135 151 208 246 254 270 294 296 310 315 320 321 326
40,Pale Lemon Yellow,#fff3b2,255,243,178,0,4,38,0,3 31 60 76 99 109 111 169 185 195 203 228 241 261 272 281 290 292 336
41,Naples Yellow,#fbeca3,251,236,163,2,7,44,0,14 115 166 193 303 325
42,Ivory Buff,#efdba5,239,219,165,8,15,40,0,11 50 94 102 126 178 184 190 209 214 235 243 262 266 301 343
43,Seashell Pink,#fbdcc4,251,220,196,0,19,23,0,45 84 88 113 150 176 194 276 334
44,Light Pinkish Cinnamon,#face9d,250,206,157,0,25,40,0,317
